x,y,z
31.5,27,8.5
31.5,27,8.5
31.5,27,8.5
31.5,27.5,8
31.5,27.5,8
31.5,27.5,8
31.5,27.5,7.5
31.5,27.5,7.5
31.5,27.5,7.5
31.5,27.5,7
31.5,27.5,7
31.5,27.5,7
31.5,27.5,6.5
31.5,27.5,6.5
31.5,27.5,6.5
31.5,27.5,6
31.5,27.5,6
31.5,27.5,6
31.5,28,5.5
31.5,28,5.5
31.5,28,5.5
31.5,28,5
31.5,28,5
31.5,28,5
31.5,28.5,4.5
31.5,28.5,4.5
31.5,28.5,4.5
31.5,29,4
31.5,29,4
31.5,29,4
31.5,29.5,3.5
31.5,29.5,3.5
31.5,29.5,3.5
31.5,30,3
31.5,30,3
31.5,30,3
31.5,30.5,2.5
31.5,30.5,2.5
31.5,30.5,2.5
31.5,31,2.5
31.5,31,2.5
31.5,31,2.5
31.5,31.5,2.5
31.5,31.5,2.5
31.5,31.5,2.5
31.5,32,2.5
31.5,32,2.5
31.5,32,2.5
31.5,32.5,2.5
31.5,32.5,2.5
31.5,32.5,2.5
31.5,33,2.5
31.5,33,2.5
31.5,33,2.5
31.5,33.5,3
31.5,33.5,3
31.5,33.5,3
31.5,34,3
31.5,34,3
31.5,34,3
31.5,34.5,3.5
31.5,34.5,3.5
31.5,34.5,3.5
31.5,35,4
31.5,35,4
31.5,35,4
31.5,35,4.5
31.5,35,4.5
31.5,35,4.5
31.5,35.5,5
31.5,35.5,5
31.5,35.5,5
31.5,35.5,5.5
31.5,35.5,5.5
31.5,35.5,5.5
31.5,36,6
31.5,36,6
31.5,36,6
31.5,36,6.5
31.5,36,6.5
31.5,36,6.5
31.5,36,7
31.5,36,7
31.5,36,7
31.5,36,7.5
31.5,36,7.5
31.5,36,7.5
31.5,36,8
31.5,36,8
31.5,36,8
31.5,36,8.5
31.5,36,8.5
31.5,36,8.5
31.5,36.5,9
31.5,36.5,9
31.5,36.5,9
31.5,36.5,9.5
31.5,36.5,9.5
31.5,36.5,9.5
31.5,36.5,10
31.5,36.5,10
31.5,36.5,10
31.5,36.5,10.5
31.5,36.5,10.5
31.5,36.5,10.5
31.5,36.5,11
31.5,36.5,11
31.5,36.5,11
31.5,36.5,11.5
31.5,36.5,11.5
31.5,36.5,11.5
31.5,36.5,12
31.5,36.5,12
31.5,36.5,12
31.5,36.5,12.5
31.5,36.5,12.5
