x,y,z
31.5,27,8.5
31.5,27,8.5
31.5,27,8.5
31.5,27.5,8
31.5,27.5,8
31.5,27.5,8
31.5,27.5,7.5
31.5,27.5,7.5
31.5,27.5,7.5
31.5,27.5,7
31.5,27.5,7
31.5,27.5,7
31.5,27.5,6.5
31.5,27.5,6.5
31.5,27.5,6.5
31.5,28,6
31.5,28,6
31.5,28,6
31.5,28,5.5
31.5,28,5.5
31.5,28,5.5
31.5,28.5,5
31.5,28.5,5
31.5,28.5,5
31.5,29,4.5
31.5,29,4.5
31.5,29,4.5
31.5,29.5,4.5
31.5,29.5,4.5
31.5,29.5,4.5
31.5,30,4
31.5,30,4
31.5,30,4
31.5,30.5,4
31.5,30.5,4
31.5,30.5,4
31.5,31,4
31.5,31,4
31.5,31,4
31.5,31.5,4
31.5,31.5,4
31.5,31.5,4
31.5,32,4
31.5,32,4
31.5,32,4
31.5,32.5,4
31.5,32.5,4
31.5,32.5,4
31.5,33,4
31.5,33,4
31.5,33,4
31.5,33.5,4.5
31.5,33.5,4.5
31.5,33.5,4.5
31.5,34,5
31.5,34,5
31.5,34,5
31.5,34.5,5.5
31.5,34.5,5.5
31.5,34.5,5.5
31.5,35,5.5
31.5,35,5.5
31.5,35,5.5
31.5,35,6
31.5,35,6
31.5,35,6
31.5,35,6.5
31.5,35,6.5
31.5,35,6.5
31.5,35,7
31.5,35,7
31.5,35,7
31.5,35.5,7.5
31.5,35.5,7.5
31.5,35.5,7.5
31.5,35.5,8
31.5,35.5,8
31.5,35.5,8
31.5,35.5,8.5
31.5,35.5,8.5
31.5,35.5,8.5
31.5,35.5,9
31.5,35.5,9
31.5,35.5,9
31.5,35.5,9.5
31.5,35.5,9.5
31.5,35.5,9.5
31.5,36,10
31.5,36,10
31.5,36,10
31.5,36,10.5
31.5,36,10.5
31.5,36,10.5
31.5,36,11
31.5,36,11
31.5,36,11
31.5,36,11.5
31.5,36,11.5
31.5,36,11.5
31.5,36.5,12
31.5,36.5,12
31.5,36.5,12
31.5,36.5,12.5
31.5,36.5,12.5
31.5,36.5,12.5
31.5,36.5,13
31.5,36.5,13
31.5,36.5,13
31.5,36.5,13.5
31.5,36.5,13.5
31.5,36.5,13.5
31.5,36,14
31.5,36,14
31.5,36,14
31.5,36,14.5
31.5,36,14.5
31.5,36,14.5
31.5,35.5,14.5
31.5,35.5,14.5
