x,y,z
31.5,26,11
31.5,26,11
31.5,26.5,10.5
31.5,26.5,10.5
31.5,26.5,10
31.5,26.5,10
31.5,26.5,9.5
31.5,26.5,9.5
31.5,26.5,9
31.5,26.5,9
31.5,27,8.5
31.5,27,8.5
31.5,27,8
31.5,27,8
31.5,27,7.5
31.5,27,7.5
31.5,27.5,7
31.5,27.5,7
31.5,27.5,6.5
31.5,27.5,6.5
31.5,28,6
31.5,28,6
31.5,28.5,5.5
31.5,28.5,5.5
31.5,29,5
31.5,29,5
31.5,29.5,4.5
31.5,29.5,4.5
31.5,30,4.5
31.5,30,4.5
31.5,30.5,4
31.5,30.5,4
31.5,31,3.5
31.5,31,3.5
31.5,31.5,3.5
31.5,31.5,3.5
31.5,32,3.5
31.5,32,3.5
31.5,32.5,3.5
31.5,32.5,3.5
31.5,33,3.5
31.5,33,3.5
31.5,33.5,3.5
31.5,33.5,3.5
31.5,34,3.5
31.5,34,3.5
31.5,34.5,3.5
31.5,34.5,3.5
31.5,35,4
31.5,35,4
31.5,35.5,4
31.5,35.5,4
31.5,36,4.5
31.5,36,4.5
31.5,36.5,5
31.5,36.5,5
31.5,37,5.5
31.5,37,5.5
31.5,37,6
31.5,37,6
31.5,37,6.5
31.5,37,6.5
31.5,37,7
31.5,37,7
31.5,37,7.5
31.5,37,7.5
31.5,37,8
31.5,37,8
31.5,37,8.5
31.5,37,8.5
31.5,37,9
31.5,37,9
31.5,37,9.5
31.5,37,9.5
31.5,37,10
31.5,37,10
31.5,37,10.5
31.5,37,10.5
31.5,37.5,11
31.5,37.5,11
31.5,37.5,11.5
31.5,37.5,11.5
31.5,37.5,12
31.5,37.5,12
31.5,37.5,12.5
31.5,37.5,12.5
31.5,37.5,13
31.5,37.5,13
31.5,37.5,13.5
31.5,37.5,13.5
31.5,37.5,14
31.5,37.5,14
31.5,37.5,14.5
31.5,37.5,14.5
31.5,37,15
31.5,37,15
31.5,37,15.5
31.5,37,15.5
31.5,36.5,16
31.5,36.5,16
31.5,36.5,16.5
31.5,36.5,16.5
31.5,36.5,17
31.5,36.5,17
31.5,36,17.5
31.5,36,17.5
31.5,36,18
31.5,36,18
31.5,35.5,18.5
31.5,35.5,18.5
31.5,35,18.5
31.5,35,18.5
31.5,34.5,18.5
31.5,34.5,18.5
31.5,34,18.5
31.5,34,18.5
31.5,33.5,18.5
31.5,33.5,18.5
31.5,33,18.5
31.5,33,18.5
31.5,32.5,18
31.5,32.5,18
31.5,32,18
31.5,32,18
31.5,31.5,18
31.5,31.5,18
31.5,31,17.5
31.5,31,17.5
31.5,30.5,17.5
31.5,30.5,17.5
31.5,30,17.5
31.5,30,17.5
31.5,29.5,17.5
31.5,29.5,17.5
31.5,29,17
31.5,29,17
31.5,28.5,17
31.5,28.5,17
31.5,28,16.5
31.5,28,16.5
31.5,27.5,16
31.5,27.5,16
31.5,27,15.5
31.5,27,15.5
31.5,26.5,15
31.5,26.5,15
31.5,26,14.5
31.5,26,14.5
31.5,26,14
31.5,26,14
31.5,26,13.5
31.5,26,13.5
31.5,26,13
31.5,26,13
