x,y,z
31.5,25.5,8
31.5,25.5,8
31.5,26,7.5
31.5,26,7.5
31.5,26,7
31.5,26,7
31.5,26.5,6.5
31.5,26.5,6.5
31.5,27,6
31.5,27,6
31.5,27.5,5.5
31.5,27.5,5.5
31.5,28,5
31.5,28,5
31.5,28,4.5
31.5,28,4.5
31.5,28.5,4
31.5,28.5,4
31.5,29,3.5
31.5,29,3.5
31.5,29.5,3.5
31.5,29.5,3.5
31.5,30,3
31.5,30,3
31.5,30.5,3
31.5,30.5,3
31.5,31,3
31.5,31,3
31.5,31.5,2.5
31.5,31.5,2.5
31.5,32,2.5
31.5,32,2.5
31.5,32.5,2.5
31.5,32.5,2.5
31.5,33,2.5
31.5,33,2.5
31.5,33.5,2.5
31.5,33.5,2.5
31.5,34,2.5
31.5,34,2.5
31.5,34.5,2.5
31.5,34.5,2.5
31.5,35,3
31.5,35,3
31.5,35.5,3
31.5,35.5,3
31.5,36,3
31.5,36,3
31.5,36,3.5
31.5,36,3.5
31.5,36.5,4
31.5,36.5,4
31.5,37,4.5
31.5,37,4.5
31.5,37.5,5
31.5,37.5,5
31.5,37.5,5.5
31.5,37.5,5.5
31.5,38,6
31.5,38,6
31.5,38,6.5
31.5,38,6.5
31.5,38.5,7
31.5,38.5,7
31.5,38.5,7.5
31.5,38.5,7.5
31.5,39,8
31.5,39,8
31.5,39,8.5
31.5,39,8.5
31.5,39,9
31.5,39,9
31.5,39,9.5
31.5,39,9.5
31.5,39,10
31.5,39,10
31.5,39,10.5
31.5,39,10.5
31.5,39,11
31.5,39,11
31.5,39,11.5
31.5,39,11.5
31.5,39,12
31.5,39,12
31.5,38.5,12.5
31.5,38.5,12.5
31.5,38.5,13
31.5,38.5,13
31.5,38,13.5
31.5,38,13.5
31.5,38,14
31.5,38,14
31.5,38,14.5
31.5,38,14.5
31.5,38,15
31.5,38,15
31.5,38,15.5
31.5,38,15.5
31.5,38,16
31.5,38,16
31.5,37.5,16.5
31.5,37.5,16.5
31.5,37,17
31.5,37,17
31.5,37,17.5
31.5,37,17.5
31.5,36.5,17.5
31.5,36.5,17.5
31.5,36,17.5
31.5,36,17.5
31.5,35.5,18
31.5,35.5,18
